Mês,Escritorios_Contratados_no_Mes,Escritorios_Contratados_Acumulado,Pilotos_Ativos,Meses_Inicio_Pagamento_Pilotos,Escritorios_Pagantes,Receita_FR,Marketing,Novos_Pagantes_Mes,Pagantes_Simulador,Receita_Simulador,Receita_Total,Despesa_Pre_Hires,Quantidade_Suporte,Despesa_Suporte,Vendedores_Ativos,Despesa_Vendedores,Desenvolvedores_Ativos,Despesa_Desenvolvedores,Despesa_Retirada_Fundador,Despesa_Outras,Despesa_Aluguel_Contas,Despesa_Mes,Resultado_Mes,Caixa_Antes_Aporte,Aporte_Necessario,Caixa_Apos_Aporte,Aporte_Acumulado,Vendedores_Agendados_Proximo_Mes,Desenvolvedores_Agendados_Proximo_Mes,Aluguel_Ativo,Aluguel_Ativo_Proximo,Marketing_Escalonado,Atinge_Cash_Buffer,PAD_Disponivel,Distribuicao_Reinvestimento,Distribuicao_Fundador,Distribuicao_Reserva,Distribuido_Acumulado
1,1,1,1,4,0,0.0,1000.0,6,6.0,299.4,299.4,0.0,0,0.0,0,0.0,0,0.0,5000.0,0.0,0.0,6000.0,-5700.6,-5700.6,5700.6,0.0,5700.6,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
2,1,2,2,4;5,0,0.0,1000.0,6,11.76,586.82,586.82,0.0,0,0.0,0,0.0,0,0.0,5000.0,0.0,0.0,6000.0,-5413.18,-5413.18,5413.18,0.0,11113.78,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
3,1,3,3,4;5;6,0,0.0,1000.0,6,17.29,862.75,862.75,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,0.0,9400.0,-8537.25,-8537.25,8537.25,0.0,19651.02,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
4,1,4,2,4;5;6,2,2059.4,1000.0,6,22.6,1127.64,3187.04,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,0.0,9400.0,-6212.96,-6212.96,6212.96,0.0,25863.98,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
5,1,5,1,4;5;6,4,4118.8,1000.0,6,27.69,1381.94,5500.74,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,0.0,9400.0,-3899.26,-3899.26,3899.26,0.0,29763.25,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
6,1,6,0,4;5;6,6,6178.2,1000.0,6,32.59,1626.06,7804.26,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,0.0,9400.0,-1595.74,-1595.74,1595.74,0.0,31358.99,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
7,1,7,0,4;5;6,7,7207.9,1000.0,6,37.28,1860.42,9068.32,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,0.0,9400.0,-331.68,-331.68,331.68,0.0,31690.68,0,0,False,False,False,False,0.0,0.0,0.0,0.0,0.0
8,1,8,0,4;5;6,8,8237.6,1000.0,6,41.79,2085.4,10323.0,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,0.0,9400.0,923.0,923.0,0.0,923.0,31690.68,0,0,False,True,False,False,0.0,0.0,0.0,0.0,0.0
9,1,9,0,4;5;6,9,9267.3,1000.0,6,46.12,2301.38,11568.68,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,1900.0,11300.0,268.68,1191.68,0.0,1191.68,31690.68,0,0,True,True,False,False,0.0,0.0,0.0,0.0,0.0
10,1,10,0,4;5;6,10,10297.0,1000.0,6,50.28,2508.73,12805.73,0.0,1,3400.0,0,0.0,0,0.0,5000.0,0.0,1900.0,11300.0,1505.73,2697.41,0.0,2697.41,31690.68,0,0,True,True,False,False,0.0,0.0,0.0,0.0,0.0
